Sentence,Idiom,NumOfWordsBetween,BetweenPOS,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG,Usage
anyway jack the lad say rehearse and blow smoke in he face,blow_smoke,0,[],CJC,VVG,PRP,DPS,1,12,0.082333333,L
she be lie on the bed blow smoke at the ceiling,blow_smoke,0,[],NN1,AT0,PRP,AT0,2,11,0.040714286,L
he father lean back and blow smoke towards the ceiling,blow_smoke,0,[],CJC,AVP,PRP,AT0,1,10,0.238285714,L
let we blow smoke at each other you and i.,blow_smoke,0,[],PNP,VVB,PRP,DT0,1,10,-0.4005,L
let we blow smoke at each other you and i. smoke get in you eye you green eye i icy love,blow_smoke,0,[],PNP,VVB,PRP,DT0,2,21,0.064416667,L
he take a fresh cigarette offer by somebody else light it and then blow the smoke in harry 's face,blow_smoke,1,['AT0'],AV0,CJC,PRP,NP0,1,20,0.180545455,L
he blow smoke into the air,blow_smoke,0,[],PNP,,PRP,AT0,1,6,0.23275,L
this effect be best correct by observe the exhaust smoke and trim the model so that the tail boom be point in the same direction that the smoke be be blow,blow_smoke,0,[],VBG,VBZ,,,2,31,0.138809524,L
the ulsterman blow smoke towards she,blow_smoke,0,[],NP0-NN1,AT0,PRP,PNP,2,6,-0.005,L
he blow cigarette smoke to sting i eye,blow_smoke,1,['NN1'],PNP,,TO0,VVI,1,8,0.065166667,L
as pungent smoke be blow into she face diana 's eye go red and watery,blow_smoke,9,"['PRP', 'DPS', 'NN1', 'NP0', 'POS', 'NN2', 'VVD', 'AJ0-NN1', 'CJC']",VBD,NN1,,,1,15,0.135,L
no draught cowl prevent downdraught from blow smoke back into the room with the new eurocowl,blow_smoke,0,[],PRP,NN1-VVB,AVP,PRP,1,16,0.25625,L
this one be blow smoke,blow_smoke,0,[],VBZ,PNI,,,2,5,-0.57,Q
why do he blow out all that smoke,blow_smoke,3,"['AVP', 'DT0', 'DT0']",PNP,VDZ,,,1,8,-0.3128,Q
if you be behind he you can sometimes catch a glimpse of little bit of he because all the smoke be be blow out in the front,blow_smoke,3,"['AVP', 'PRP', 'AT0']",VBG,VBZ,,,2,27,0.009666667,L
mind you he must have gigantic nose-hole to be able to blow out all that smoke,blow_smoke,3,"['AVP', 'DT0', 'DT0']",TO0,AJ0,,,1,16,0.1528,Q
dodger sigh and blow smoke all over we,blow_smoke,0,[],CJC,VVD,AV0,PRP,2,8,-0.428666667,L
he blow the smoke to the ceiling,blow_smoke,1,['AT0'],PNP,,PRP,AT0,1,7,0.295333333,L
test the alarm regularly by press the test button or blow smoke into it from a cigarette or candle,blow_smoke,0,[],CJC,NN1,PRP,PNP,1,19,0.300916667,L
he pull deeply on the cigarette and blow the smoke into tommy 's face,blow_smoke,1,['AT0'],CJC,NN1,PRP,NP0,1,14,0.4025,L
philpott exhale blow the smoke upwards,blow_smoke,1,['AT0'],VVD,NP0,AV0,,1,6,0.1542,L
yes indeed madame sigh light a fresh cigarette and blow the smoke out of the side of she mouth yes you do very well indeed,blow_smoke,1,['AT0'],CJC,NN1,AVP,PRF,1,25,0.34565,L
she come whistle out of the dark when folk be in they bed and the most they will see of she be she green eye and the red fire blow up she smoke,blow_smoke,2,"['AVP', 'DPS']",NN2,AJ0,,,1,33,0.24505,L
and with petulant little movement of she lip and eye she challenge they then reach for a cigarette and light it and blow out thick smoke in irritation,blow_smoke,2,"['AVP', 'AJ0-AV0']",CJC,PNP,PRP,NN1,1,28,-0.118647059,L
kenneth caitlin light himself a cigar blow the smoke out in huge puff that swirl around he bald head,blow_smoke,1,['AT0'],NN1,AT0,AVP,PRP,1,19,-0.066538462,L
he blow cigar smoke in she face,blow_smoke,1,['NN1'],PNP,,PRP,DPS,1,7,-0.1568,L
she inhale deeply and throw she head back to blow the smoke towards the ceiling,blow_smoke,1,['AT0'],TO0,AVP,PRP,AT0,1,15,0.252545455,L
